"Property","en","pt-br","pt","pl","nl","lt","ja","it","id","hr","hi","gl","fr","fi","es-es","el","de-de","cs","ca","bg","sk","sh","ru","sr","sr-cs","ro","uk","tr","zh-tw","zh-cn"
"update_blockchain_downloading","The blockchain is still downloading, check again after it's up to date.","A corrente de blocos ainda está sendo baixada, verifique novamente após estar atualizada.","A corrente de blocos ainda está sendo descarregada, verifique novamente após o término do download.","Blockchain jest jeszcze pobierane, sprawdź później gdy pobieranie się zakończy.","De blockchain is nog steeds het downloaden, controleer opnieuw nadat het up-to-date is.","Blokai vis dar siunčiasi, patikrinkite dar kartą po to, kai jie atsinaujins.","ブロックチェーンはまだダウンロード中です。最新になってから再度チェックしてください。","Il blockchain sta ancora scaricando, controllare nuovamente appena sarà aggiornato.","Blockchain masih mengunduh, periksa kembali setelah selesai.","Blockchain je još uvijek u fazi učitavanja, provjerite ponovo nakon završetka procesa.",,"A cadea de bloques aínda se está descarregando, volva a probar cando esté actualizada.","La blockchain est toujours en cours de téléchargement, vérifiez à nouveau lorsque celle-ci sera complètement synchronisée.","Lohkoketjua ladataan edelleen, tarkista uudelleen kun se on ajan tasalla.","La cadena de bloques aún se está descargando, vuelva a probar cuando esté actualizada.",,"Die Blockchain wird derzeit heruntergeladen. Versuchen Sie es noch einmal, sobald die Blockchain heruntergeladen wurde.","Blockchain se stále stahuje. Zkontrolujte jej prosím znovu, až bude aktuální.","La Cadena de Blocs s'està descarregant, torni a provar quan estigui actualitzada.","Блокверигата все още се изтегля, проверете отново след като се актуализира.","Blockchain sa stále sťahuje, skontrolujte znova keď už bude aktuálny.","Blockchain je još uvijek u fazi učitavanja, provjerite ponovo nakon završetka procesa.","Blockchain еще загружается, проверьте еще раз после того, как он обновится.","Blockchain је још увек у фази учитавања, проверите поново након завршетка процеса.","Blockchain je još uvek u fazi učitavanja, proverite ponovo nakon završetka procesa.","Blockchain-ul este încă în descărcare, verifică din nou după ce este actualizat.","Blockchain ще завантажується, перевірте ще раз після того, як він оновиться.",,"Blockchain仍在下載，請更新之後再檢查。","Blockchain 仍在下载，请更新之后再检查。"
"update_contact","Update Contact","Atualizar o contato","Atualizar Contato","Uaktualnij kontakt","Contactpersoon Bijwerken","Atnaujinti kontaktą","連絡先を更新","Aggiorna contatto","Memperbarui Kontak","Ažuriraj kontakt","संपर्क को अद्यतन","Actualizar contacto","Mettre à jour le contact","Päivitä yhteystieto","Actualizar Contacto","Ενημέρωση επαφής","Kontakt aktualisieren","Aktualizovat kontakt","Actualitzar Contacte","Актуализиране на контакт","Aktualizovať kontakt","Ažuriraj kontakt","Обновить контакт","Ажурирај Контакт","Ažuriraj Kontakt","Actualizare Contact","Оновлення контакту","Kişi Güncelleştir","更新聯絡人","更新联系人"
"update_multiple_available","Both a general and experimental release are available. It is not recommended that you install the experimental release unless you know what you're doing.","Tanto a versão geral como a experimental estão disponíveis. Não é recomendável que você instale a versão experimental, a menos que você saiba o que está fazendo.","Tanto a versão geral como a experimental estão disponíveis. Não é recomendável que você instale a versão experimental, a menos que você saiba o que está fazendo.","Dostępne są nowe wersje oprogramowania, eksperymentalna i normalna. Nie rekomendowana jest instalacja wersji eksperymentalnej chyba że wiesz co robisz.","Zowel een algemene en experimentele release zijn beschikbaar. Het is niet aanbevolen dat u de experimentele gebruikt als u niet weet wat u doet.","Yra tiek ir pagrindinė, tiek ir eksperimentinė versijos. Nerekomenduojame įdiegti eksperimentinės versijos, nebent jei žinote, ką darote.","実際のリリースと試験的リリースの両方が可能です。ただあなたが自身が何をやっているか理解していない限り、試験的リリースのインストールは推奨しません。","Sia un rilascio generale che uno sperimentale sono disponibili. Non è consigliabile installare il rilascio sperimentale se non si è certi di cosa si stia facendo.","Seorang jenderal dan versi percobaan tersedia. Hal ini tidak dianjurkan bahwa Anda menginstal versi percobaan kecuali Anda adalah seorang ahli.","Dostupne su obje inačice, osnovna i eksperimentalna. Nije preporučljivo instaliranje eksperimentalne inačice ukoliko niste sigurni što radite.",,"Hai unha versión xeral e unha experimental dispoñible. Non se recomenda que instale a versión experimental salvo que saiba o que está facendo.","Une version bêta et une version stable sont disponibles. Il n'est pas recommandé d'installer la version bêta à moins que vous soyez absolument certain de savoir ce que vous faites.","Sekä yleinen julkaisu- että testiversio on saatavilla. Testiversion käyttö on suositeltavaa vain jos todella tiedät mitä teet.","Hay una versión general y una experimental disponibles. No se recomienda que instale la versión experimental a menos que sepa lo que está haciendo.",,"Es sind sowohl eine stabile als auch eine experimentelle Version verfügbar. Verwenden Sie die experimentelle Version nur, wenn Sie wissen, was Sie tun.","K dispozici je jak hlavní tak experimentální verze. Není doporučeno instalovat experimentální verzi, pokud nevíte, co děláte.","Hi ha disponible una versió general i una experimental. No és recomanable que instal·leu la versió experimental llevat que sapigueu el què esteu fent.","Обща и тестова версия са налични. Не се препоръчва да инсталирате тестова версия, ако не знаете какво правите.","K dispozícii sú hlavná aj experimentálna verzia. Neodporúča sa inštalovať experimentálnu verziu, ak neviete, čo robíte.","Dostupne su obje inačice, osnovna i eksperimentalna. Nije preporučljivo instaliranje eksperimentalne inačice ukoliko niste sigurni što radite.","Доступны как основной, так и экспериментальный выпуски. Не рекомендуется устанавливать экспериментальный выпуск, если вы не знаете, что вы делаете.","Доступне су обе верзије, основна и експериментална. Није препоручљива инсталација експерименталне верзије уколико нисте сигурни шта радите.","Dostupne su obe verzije, osnovna i eksperimentalna. Nije preporučljiva instalacija eksperimentalne verzije ukoliko niste sigurni šta radite.","Aveţi la dispoziţie o eliberare de versiuni generală şi experimentală. Nu este recomandat să instalaţi versiunea experimentală dacă nu ştiți ce faceți.","Доступні як основний, так і експериментальний випуски. Не рекомендується встановлювати експериментальний випуск, якщо ви не знаєте, що ви робите.",,"通用版本和測試版本均可用。建議您不要安裝測試版本，除非您知道在做什麽。","通用版本和测试版本均可用。建议您不要安装测试版本，除非您知道在做什么。"
"update_testnet","BRS cannot be updated whilst connected to the testnet.","BRS não pode ser atualizado enquanto conectado ao testnet.","BRS não pode ser atualizado enquanto conectado à rede de provas.","BRS nie może być uaktualniony w trakcie podłączenia do TestNetu.","BRS kan niet worden geupdate terwijl het verbonden is met de testnet.","BRS negalima atnaujinti, kol esate prisijungę prie testinio tinklo.","テストネットに接続中はBRSを更新できません。","L'BRS non può essere aggiornato quando è collegato alla testnet.","BRS tidak dapat diperbarui sementara terhubung ke testnet.","BRS nije moguće nadograditi za vrijeme spoja na testnet.",,"BRS non pode ser actualizado durante a conexión á red de probas.","Le client BRS ne peut pas être mis à jour tant qu'il est connecté au testnet.","BRS:ää ei voi päivittää kun ollaan yhdistetty testiverkkoon.","BRS no puede ser actualizado durante una conexión a la red de pruebas.","Το BRS δεν μπορεί να ενημερωθεί, όσο είστε συνδεμένος με το testnet.","BRS kann nicht aktualisiert werden, während es mit dem Testnet verbunden ist.",,"No es pot actualitzar el BRS i al mateix temps estar connectat a la Testnet.","BRS не може да се актуализира, докато е свързан към testnet.","BRS sa nedá aktualizovať, ak je zároveň pripojený na testnet.","BRS nije moguće nadograditi za vrijeme spoja na testnet.","BRS нельзя обновить при подключении к тестовой сети.","BRS није могуће ажурирати док је спојен на тестнет.","BRS nije moguće ažurirati dok je spojen na testnet.","BRS nu poate fi actualizat în timp ce e conectat la testnet.","BRS не можна оновити при підключенні до тестової мережі.",,"當連接到測試網絡時,不能更新 BRS 。","当连接到测试网络时，不能更新 BRS 。"
"update_up_to_date","You have the latest release already. There is no need to update.","Você já tem a versão mais recente. Não há necessidade de atualização.","Você já tem a versão mais recente. Não há necessidade de atualização.","Masz już zainstalowaną najnowszą wersję. Aktualizacja nie jest potrzebna.","U hebt al de nieuwste versie. Bijwerken is niet noodzakelijk.","Jūs turite naujausią versiją. Nėra reikalo atnaujinti.","あなたは既に最新のリリースをお持ちです。更新する必要はありません。","Hai già l'ultima versione. Non è necessario aggiornare.","Anda memiliki versi terbaru sudah. Ada tidak perlu untuk memperbarui.","Posjedujete posljednju inačicu softvera. Ne postoji potreba za ažuriranjem.",,"Xa ten a derradeira versión. Non é necesario actualizar.","Vous avez la dernière version en date. Aucune mise à jour nécessaire.","Sinulla on käytössä uusin julkaisuversio. Päivitystä ei tarvita.","Ya tiene la última versión. No es necesario actualizar.",,"Die Software ist auf dem neuesten Stand. Eine Aktualisierung ist derzeit nicht notwendig.",,"Ja teniu l'última versió. No hi ha necessitat d'actualitzar.","Вече имате последното издание. Не е необходимо да се актуализира.","Už máte najnovšiu verziu. Nie je potrebné aktualizovať.","Posjedujete posljednju inačicu softvera. Ne postoji potreba za ažuriranjem.","У вас уже последний релиз. Нет необходимости обновлять.","Поседујете последњу верзију. Нема потребе за ажурирањем.","Posedujete poslednju verziju. Nema potrebe za ažuriranjem.","Aveţi deja cea mai recentă versiune. Nu este nevoie să actualizați.","У вас вже є останній реліз. Немає необхідності оновлювати.",,"已經是最新版本。無需更新。","已经是最新版本。无需更新。"
"uploaded","Uploaded","Carregado","Subido","Przesłane","Ge-upload","Įkelta","アップロード済","Caricato","Diunggah","Učitano","अपलोड किया गया","Subido","Envoyé","Ladattu","Subido",,"Hochgeladen","Nahráno","Pujat","Качено","Odoslané","Učitano","Выгружено","Учитано","Učitano","Încărcat","Завантажені",,"已上傳","已上传"
"uploaded_volume","Uploaded Volume","Volume carregado","Volume Subido","Volumen przesłań","Ge-upload Volume","Įkeltas kiekis","アップロードされた量","Volume caricato","Upload Volume","Učitana količina","अपलोड की गई मात्रा","Volumen subido","Volume de données envoyé","Ladattu määrä","Volumen Subido","Όγκος Upload","Hochgeladenes Datenvolumen","Nahraná data","Volum Pujat","Качен обем","Nahraný objem","Učitana količina","Выгруженный объем","Учитана Количина","Učitana Količina","Volumul încărcat","Вивантажений об'єм",,"上傳量","上传量"
"up_to_date_peers","Up-to-date Peers","Pares atualizados","Pares Atualizados","Aktualne peers","Actuele peers","Naujausi 'peer'ai","最新のピア","Peer aggiornati","Peer Terbaru","Ažurirani peersi","अप-टू-डेट साथिगण","Pares actualizados","Pairs à jour","Ajan tasalla olevat käyttäjät","Pares Actualizados","Ενημερωμένοi κόμβοι","Aktuelle Peers","Aktuální peeři","Parells Actualizats","Актуални партньори","Aktuálni peeri","Ažurirani peersi","Актуальный список узлов","Ажурирани Peers-i","Ažurirani Peers-i","Peers de actualizat","Актуальний список вузлів","Güncel eş","最新節點","最新节点"
"uri","URI",,,,,,,,,,,,,,,,,,,,,,,,,"Uri","Uri",,,
"uri_is","The URI is '__uri__'","O URI é '__uri__'","O URI é '__uri__'","URI to '__uri__'","De URI is '__uri__'","URI yra '__uri__'","URI は'__uri__'","L'URI è '__uri__'","URI adalah '__uri__'","URI je '__uri__'","URI है '__uri__'","O URI é '__uri__'","L'URI est '__uri__'","URI on '__uri__'","El URI es '__uri__'","Η διεύθυνση είναι «__uri__»","Die URI ist '__uri__'",,"L'URI és '__uri__'","URI е '__uri__'","URI je '__uri__'","URI je '__uri__'","URI Псевдонима «__uri__»","URI је '__uri__'","URI je '__uri__'","Uri-ul este '__uri__'","URI є '__uri__'",,"URI 是 '__uri__'","URI 是 '__uri__'"
"user_no_aliases","This user has no aliases.","Este usuário não tem pseudônimos.","Este usuário não tem alias.","Użytkownik nie ma aliasu.","Deze gebruiker heeft geen aliassen.","Šis vartotojas neturi pseudonimo.","このユーザーにはエイリアスがありません。","Questo utente non ha Alias.","Pengguna ini memiliki alias tidak.","Ovaj korisnik nema pseudonim.","इस उपयोगकर्ता के कोई उपनाम नहीं है।","Este usuario non ten alias.","Cet utilisateur ne possède aucun alias.","Käyttäjällä ei ole yhtään aliasta.","Este usuario no tiene alias.","Αυτός ο χρήστης δεν έχει ψευδώνυμα.","Dieser Benutzer hat keine Aliase.","Tento uživatel nemá žádné aliasy.","Aquest usuari té cap àlies.","Потребителят няма псевдоними.","Tento používateľ nemá žiadne aliasy.","Ovaj korisnik nema pseudonim.","Этот пользователь не имеет Псевдонимов.","Овај корисник не поседује алиас-е.","Ovaj korisnik ne poseduje alias-e.","Acest utilizator are nici un alias.","Цей користувач не має Аліасiв.",,"該用戶沒有別名。","该用户没有别名。"
"user_no_assets","This user has no tokens.","Este usuário não possui ativos.","Este usuário não possui ativos.","Użytkownik nie ma aktywów.","Deze gebruiker heeft geen Assets.","Šis vartotojas neturi aktyvų.","このユーザーには資産がありません。","Questo utente non ha alcun asset.","Pengguna ini memiliki aset tidak.","Ovaj korisnik nema asseta.","इस उपयोगकर्ता के पास कोई संपत्ति नहीं है।","Este usuario non ten activos.","Cet utilisateur ne possède aucun actif.","Käyttäjällä ei ole arvopapereita.","Este usuario no tiene activos.","Αυτός ο χρήστης δεν έχει μετοχές.","Dieser Benutzer hat keine Assets.","Tento uživatel nemá žádná aktiva.","Aquest usuari té cap actiu.","Потребителят няма активи.","Tento používateľ nemá žiadny majetok.","Ovaj korisnik nema asseta.","Этот пользователь не имеет активов.","Овај корисник не поседује ассет-е.","Ovaj korisnik ne poseduje asset-e.","Acest utilizator nu are active.","Цей користувач не має активів.",,"該用戶沒有資產。","该用户没有资产。"
"user_no_transactions","This user has no transactions.","Este usuário não tem nenhuma transação.","Este usuário não tem nenhuma transação.","Użytkownik nie ma żadnych transakcji.","Deze gebruiker heeft geen transacties.","Šis vartotojas neturi atlikęs jokios transakcijos.","このユーザーはトランザクションがありません。","Questo utente non ha alcuna transazione.","Pengguna ini telah tidak ada transaksi.","Ovaj korisnik nema transakcija.","इस उपयोगकर्ता के कोई लेन-देन नहीं है।","Este usuario non ten ningunha transacción.","Cet utilisateur n'a pas de transactions.","Tällä käyttäjällä ei ole tapahtumia.","Este usuario no tiene ninguna transacción.",,"Dieser Benutzer hat keine Transaktionen.","Tento uživatel nemá žádné transakce.","Aquest usuari té cap transacció.","Потребителят няма никакви сделки.","Tento používateľ nemá žiadne transakcie.","Ovaj korisnik nema transakcija.","У этого пользователя нет транзакций.","Овај корисник нема трансакција.","Ovaj korisnik nema transakcija.","Acest utilizator nu are nici o tranzacţie.","У цього користувача немає транзакцій.",,"此用戶沒有交易記錄。","该用户没有交易记录。"
"use_24_hour_format","Use 24 Hour Format","Use o formato de 24 horas","Use o Formato de 24 Horas","Używaj formatu 24 godzinnego","24-uurs Indeling Gebruiken","Naudoti 24 val. laikrodį","24時間形式を使用","Usa formato 24h","Menggunakan Format 24 jam","Koristi 24-satni prikaz vremena","24 घंटे के स्वरूप का उपयोग करें","Utilizar o formato 24 horas","Utiliser le système horaire sur 24 heures","Käytä 24 tunnin formaattia","Utilizar Formato de 24 Horas","Χρήση μορφής 24 ωρών","24-Stunden-Format verwenden","Používat 24hodinový formát","Fer servir Format de 24 Hores","Използвай 24-часов формат","Použiť 24 hodinový formát","Koristi 24-satni prikaz vremena","Использовать 24-часовой формат","Користи 24-часни приказ времена","Koristi 24-časni prikaz vremena","Utilizare format 24 de ore","Використати 24-годинний формат",,"使用 24 小時格式","使用 24 小时格式"
"valid","Valid","Válido","Válido","Ważny","Geldig","Galiojantis","有効","Valido","Berlaku","Važeći","मान्य","Válido","Valider","Voimassa","Válido","Έγκυρο","Gültig","Platné","Vàlid","Валиден","Platné","Važeći","Допустимо","Важећи","Validno","Corect","Дійсний",,"有效","有效"
"validate","Validate","Validar","Validar","Waliduj","Valideer","Patvirtinti","検証","Valida","Validasi","Potvrdite","मान्य करें","Validar","Valider","Validoida","Validar","Επιβεβαίωση","Validieren",,"Validar","Провери","Overiť","Potvrdite","Проверка","Потврдите","Potvrdite","Validare","Перевіряти",,"確認","确认"
"validate_token","Validate Token","Validar o Token","Validar Identificador","Waliduj token","Token Valideren","Patvirtinti atpašinimo ženklą","トークンを検証","Convalida Token","Memvalidasi Token","Provjera tokena","टोकन मान्य करें","Validar identificador","Valider un jeton","Validoi tunniste","Validar Identificador",,"Token validieren","Ověřit Token","Validar Identificador","Проверка на маркер","Overiť Token","Provjera tokena","Проверка токена","Потврдите Токен","Potvrdite Token","Validează Token","Перевірити маркер",,"驗證令牌","验证令牌"
"value_in_burst","Value","Valor","Valor em SIGNA","Wartość w SIGNA","Waarde in SIGNA","SIGNA vertė","SIGNA での価値","Valore in SIGNA","Nilai dalam SIGNA","Vrijednost u SIGNA","SIGNA में मान","Valor en SIGNA","Valeur en SIGNA","Arvo (SIGNA)","Valor en SIGNA","Τιμή σε SIGNA","Wert in SIGNA","Hodnota v SIGNA","Valor en SIGNA",,"Hodnota v SIGNA","Vrijednost u SIGNA","Значение в SIGNA","Вредност у SIGNA-у","Vrednost u SIGNA-u","Valoarea în SIGNA","Значення в SIGNA",,"以SIGNA計算的價值","以SIGNA计算的价值"
"version","Version","Versão","Versão","Wersja","Versie","Versija","バージョン","Versione","Versi","Inačica","संस्करण","Versión",,"Versio","Versión","Έκδοση",,"Verze","Versió","Версия","Verzia","Inačica","Версия","Верзија","Verzija","Versiune","Версія","Versiyon","版本","版本"
"view_more","View More","Ver mais","Ver Mais","Zobacz więcej","Bekijk Meer","Rodyti daugiau","もっと見る","Vedi di più","Lihat lebih","Vidi više","देखें और अधिक","Ver máis","Afficher plus","Näytä lisää","Ver Más","Δείτε περισσότερα","Mehr anzeigen","Zobrazit více","Veure més","Виж още","Zobraziť viac","Vidi više","Посмотреть больше","Види више","Vidi više","Vezi mai multe","Подивитися більше",,"查看更多","查看更多"
"view_owner_info_q","View owner info?","Exibir informações do proprietário?","Ver informação do proprietário?","Otworzyć informacje o właścicielu?","Gegevens van de eigenaar weergeven?","Rodyti savininko info?","所有者の情報を表示しますか？","Mostra informazioni del proprietario?","Lihat info pemilik?","Pogledaj informacije o vlasniku?","मालिक जानकारी देखें?","¿Vela información do propietario?","Voir les informations du propriétaire ?","Katso omistajan tietoja?","¿Ver información de propietario?",,"Informationen über den Inhaber anschauen?",,"Veure la informació del propietari?","Показване информация за собственик?","Zobraziť informácie o vlastníkovi?","Pogledaj informacije o vlasniku?","Просмотреть информацию о владельце ?","Погледајте информације власника?","Pogledajte informacije vlasnika?","Vrei să vezi informatii despre proprietar?","Проглянути інформацію про власника ?",,"查看所有者資料？","查看所有者资料？"
"vote","Vote","Votar","Votar","Głos","Stemmen","Balsas","投票","Vota","Pemilihan","Glas","वोट","Votar","Voter","Äänestys","Votar","Ψηφίστε","Stimme","Hlasovat","Votar","Гласуване","Hlas","Glas","Голосование","Гласај","Glas","Votează","Голосування",,"投票","投票"
"vote_casting","Vote Casting","Votação","Emissão de Votos","Głosowanie","Stem uitbrengen","Balso padavimas","投票","Votazione","Memilih Casting","Prikupljanje glasova",,"Emisión de votos","Vote ouvert","Äänestys","Emisión de Votos",,"Wählen","Hlasování","Emisió de Vots","Гласоподаване","Zber hlasov","Prikupljanje glasova","Голосование","Прикупљање Гласова","Prikupljanje Glasova","Votul e deschis","Голосування",,"投票","投票"
"vote_x","vote __x__","votar __x__","votar __x__","głos __x__","stem op __x__","balsavimas __x__","__x__に投票","Vota __x__","suara __x__","glas __x__",,"votar __x__","voter pour __x__","ääni __x__","votar __x__",,"stimme __x__",,"votar __x__","гласуване __x__","hlas __x__","glas __x__","голосов __x__","глас __x__","glas __x__","votează __x__","голосів __x__",,"投票 __x__","投票 __x__"
"waiting_on_seller","Waiting on seller to deliver goods.","Esperando o vendedor entregar a mercadoria.","Esperando o vendedor entregar a mercadoria.","Czekam na sprzedawcę aż dostarczy towary.","Wacht op de verkoper om de goederen te leveren.","Laukiama, kol pardavėjas pristatys prekes.","商品を配信する売り手を待っています。","In attesa che il venditore consegni la merce.","Menunggu penjual untuk mengirimkan barang.","Čekanje da prodavač isporuči robu.",,"Á espera do vendedor para proceder a entrega dos bens.","Produits en attente de livraison.","Odottaa, että myyjä toimittaa tavarat.","Esperando a que el vendedor entregue la mercancía.","Αναμονή παράδοσης των εμπορευμάτων από τον πωλητή.","Warten auf die Warenlieferung des Verkäufers.","Čekání na prodejce, dokud doručí zboží.","Esperant que el venedor  lliuri els béns.","Изчакване на продавача да достави стоки.","Čakanie na predávajúceho kým doručí tovar.","Čekanje da prodavač isporuči robu.","Ожидание доставки товара от продавца.","Чекање на продавца да испоручи робу.","Čekanje na prodavca da isporuči robu.","Aşteptare vânzător livrare marfă.","Очікування доставки товару продавцем.","Satıcı malları teslim etmek için bekliyor.","等待賣方交付貨物。","等待卖方交付货物。"
"wallet_update_available","A new version of the Signum Wallet application is available for download <a href='__link__' target='_blank'>here</a>. It must be downloaded and installed manually.",,"Há uma nova versão da aplicação SIGNA Wallet disponível para descarregar  <a href='__link__' target='_blank'>aquí</a>. Deve descarregar-se e instalar-se manualmente.","Nowa wersja oprogramowania portefela dla Signuma jest dostępna <a href='__link__' target='_blank'>tutaj</a>. Musi zostać pobrana i zainstalowana ręcznie.","Er is een nieuwe versie van de SIGNA wallet beschikbaar <a href='__link__' target='_blank'> hier</a>. Deze moet handmatig worden gedownload en geinstalleerd.","Nauja SIGNA piniginės versiją galima parsisiųsti <a href='__link__' target='_blank'> čia</a>. Ji turi būti atsisiųsta ir įdiegta rankiniu būdu.","SIGNA 財布アプリケーションの新しいバージョンを <a href='__link__' target='_blank'> ここ</a>  からダウンロードできます。それをダウンロードし、手動でインストールする必要があります。",,"Versi baru dari aplikasi dompet SIGNA telah tersedia untuk di-download <a href='__link__' target='_blank'> di sini</a>. Aplikasi tersebut harus didownload dan diinstal secara manual.","Nova verzija SIGNA novčanika je spremna za preuzimanje <a href='__link__' target='_blank'>ovde</a>. Nova verzija mora biti preuzeta i instalirana ručno.",,,"Une nouvelle version du portefeuille SIGNA est disponible au téléchargement <a href='__link__' target='_blank'>ici</a>. Elle doit être téléchargée et installée manuellement.","SIGNA-lompakon uusi versio on ladattavissa <a href='__link__' target='_blank'>täältä</a>. Se täytyy ladata ja asentaa manuaalisesti.","Hay una nueva versión de la aplicación SIGNA Wallet disponible para descarga <a href='__link__' target='_blank'>aquí</a>. Debe descargarse e instalarse manualmente.",,"Eine neue Version des SIGNA-Wallets steht zum <a href='__link__' target='_blank'>Download</a> bereit. Es muss heruntergeladen und manuell installiert werden.",,,,"Nová verzia aplikácie peňaženky SIGNA je k dispozícii na stiahnutie <a href='__link__' target='_blank'>tu</a>. Musí byť stiahnutá a nainštalovaná ručne.",,"Новая версия приложения SIGNA Wallet доступна для скачивания <a href='__link__' target='_blank'>здесь</a>. Ее необходимо скачать и установить вручную.","Нова верзија SIGNA новчаника је спремна за преузимање <a href='__link__' target='_blank'>овде</a>. Нова верзија мора бити преузета и инсталирана ручно.","Nova verzija SIGNA novčanika je spremna za preuzimanje <a href='__link__' target='_blank'>ovdje</a>. Nova verzija mora biti preuzeta i instalirana ručno.",,"Нова версія SIGNA Wallet доступна для завантаження <a href='__link__' target='_blank'>тут</a>. Її необхідно завантажити і встановити вручну.",,"新版本的 SIGNA 錢包應用程序可以在 <a href='__link__' target='_blank'> 這裡</a>下載。必須手動下載并安裝它。","新版本的 SIGNA 钱包应用程序可以在  <a href='__link__' target='_blank'> 这里</a>下载。必须手动下载并安装它。"
"warning","Warning","Aviso","Aviso","Ostrzeżenie","Waarschuwing","Įspėjimas","警告","Avviso","Peringatan","Upozorenje",,"Aviso","Attention","Varoitus","Aviso","προειδοποίηση","Warnung","Varování","Avís","Предупреждение","Upozornenie","Upozorenje","Внимание","Упозорење","Upozorenje","Atenţie","Увага","UYARI","警告","警告"
"watch_only_mode","Login with account (observer):","Logar com conta (observador):",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"website","Website","Sítio da Web","Página Web","Strona",,"Tinklalapis","ウェブサイト","Sito Web","Situs web",,,"Páxina web","Site web","Verkkosivu","Página Web","Ιστοσελίδα","Webseite","Webová stránka","Pàgina Web","Уебсайт","Webstránka",,"Вебсайт","Вебсајт","Vebsajt","Pagină Web","Веб-сайт","Web sitesi","網站","网站"
"website_or_text","Website or Text","Site ou texto","Sitio web ou Texto","Strona lub tekst","Website of Tekst","Svetainė arba tekstas","ウェブサイトまたはテキスト","Sito Web o testo","Situs web atau teks","Website ili tekst",,"Sitio web ou texto","Site web ou description","Websivu tai teksti","Sitio web o Texto",,"Webseite oder Text","Webová stránka nebo text","Pàgina Web o Text","Уебсайт или текст","Webstránka alebo text","Website ili tekst","Веб-сайт или текст","Wеб сајт или Текст","Web sajt ili Tekst","Pagină Web sau text","Веб-сайт або текст","Web sitesi veya metin","網站或文本","网站或文本"
"welcome_to_burst","Welcome to Signum","Bem vindo a Signum","Bem vindo a Signum","Witaj na Signum","Welkom bij Signum","Sveiki atvykę į Signum","Signum へようこそ","Benvenuti a Signum","Selamat datang di Signum","Dobrodošli u Signum",,"Benvido a Signum","Bienvenue sur le client Signum","Tervetuloa Signum:iin","Bienvenido a Signum","Καλώς ήλθατε στο Signum","Willkommen bei Signum","Vítejte v Signum","Benvinguts a Signum",,"Vitajte v Signum","Dobrodošli u Signum","Добро пожаловать в Signum","Добродошли у SIGNA","Dobrodošli u Signum","Bine ai venit la Signum","Ласкаво просимо в Signum","burst hoş geldiniz","歡迎來到 Signum","欢迎来到 Signum"
"with_burst","With SIGNA","Com SIGNA","Com SIGNA","Z SIGNA","Met SIGNA","Su SIGNA","SIGNAと","Con SIGNA","Dengan SIGNA","Sa SIGNA",,"Con SIGNA","Avec SIGNA","SIGNA:n kanssa","Con SIGNA","Με SIGNA","Mit SIGNA","S SIGNA","Amb SIGNA",,"S SIGNA","Sa SIGNA","С SIGNA","Са SIGNA-ом","Sa SIGNA-om","Cu SIGNA","З SIGNA","SIGNA ile","與 SIGNA","与 SIGNA"
"x_confirmations","__x__ confirmations","__x__ confirmações","__x__ confirmações","__x__ potwierdzeń","__x__ bevestigingen","__x__ patvirtinimai","__x__ 確認","__x__ conferme","konfirmasi __x__","__x__ potvrda",,"__x__ confirmacións",,"__x__ vahvistusta","__x__ confirmaciones","__x__ επιβεβαιώσεις","__x__ Bestätigungen",,"__x__ confirmacions","__x__ потвърждения","__x__ potvrdení","__x__ potvrda","__x__ подтверждений","__x__ конфирмација","__x__ konfirmacija","__x__ confirmări","__x__ підтверджень","__x__ teyitleri","__x__ 確認","__x__ 确认"
"yes","Yes","Sim","Sim","Tak","Ja","Taip","はい","Sì","Ya","Da",,"Sí","Oui","Kyllä","Sí","Ναι","Ja","Ano","Si","Да","Áno","Da","Да","Да","Da","Da","Так","Evet","是","是"
"you","You","Você","Você","Ty","U","Jūs","あなた","Tu","Anda","Vi",,"Ti","Vous","Sinä","Usted",,"Sie","Vy","Vosté","Вие","Vy","Vi","Вы","Ви","Vi","Dvs","Ви","Siz","您","您"
"your_alias_sale_offer","You are offering this alias for sale.","Você está oferecendo este pseudônimo para venda.","Você está oferecendo este alias para venda.","Ten alias został przez Ciebie wystawiony na sprzedaż.","U biedt deze alias te koop aan.","Jūs siūlote ši pseudonimą pardavimui.","あなたはこのエイリアスを売りに出しています。","Stai per mettere in vendita questo alias.","Anda menawarkan alias ini untuk dijual.","Ponudili ste ovaj pseudonim na prodaju.",,"Esta poñendo a venta este alias.","Vous avez mis cet alias en vente.","Tarjoat tätä aliasta myytäväksi.","Ha puesto este alias a la venta.","Προσφέρετε προς πώληση αυτό το ψευδώνυμο.","Sie bieten diesen Alias zum Kauf an.","Nabízíte tento alias na prodej.","Has posat aquest Àlies a la venta.","Вие предлагате този псевдоним за продажба.","Ponúkate tento alias na predaj.","Ponudili ste ovaj pseudonim na prodaju.","Вы предлагаете этот псевдоним для продажи.","Ви нудите овај алиас на продају.","Vi nudite ovaj alias na prodaju.","Ai pus acest alias la vânzare.","Ви пропонуєте цей псевдонім для продажу.","Bu rumuzu satışa sunuyorsunuz.","您的該別名正在出售。","您的该别名正在出售。"
